X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	
279.5	177.5	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1724.5	1054.6	NaN	1602.5	1064.5	NaN
279.88	177.9	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1724.4	1052	NaN	1606.5	1066	NaN
279.5	178	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1723.9	1049.4	NaN	1609.5	1068.5	NaN
279.47	178.54	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1723.1	1047	NaN	1611.5	1070	NaN
279	179	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1722	1044.6	NaN	1614.5	1071	NaN
279	179	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1720.5	1042.3	NaN	1618.5	1071.5	NaN
279	179.5	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1723.2	1036.9	NaN	1622.5	1072	NaN
279	180	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1725.7	1031.4	NaN	1626.5	1072	NaN
279	180	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1728.4	1025.9	NaN	1630.5	1072	NaN
279.17	180.65	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1731	1020.3	NaN	1634	1072	NaN
279	181	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1733.6	1014.9	NaN	1637.5	1072	NaN
279.26	181.15	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1735.8	1009	NaN	1641.5	1072	NaN
279.5	181.5	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1738.7	1003.9	NaN	1645.3	1071.8	NaN
279	182	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1741.3	998.33	NaN	1649.5	1071.5	NaN
279	182	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1743.9	992.91	NaN	1653	1071.5	NaN
279	182	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1746.4	987.29	NaN	1656.5	1071.5	NaN
279	183	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1744	983	NaN	1660.5	1071.5	NaN
279	183	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1741.5	978.84	NaN	1664.5	1071	NaN
279	183	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1739.1	974.41	NaN	1668	1071	NaN
279	184	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1736.6	970.11	NaN	1671.5	1071	NaN
279	184	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1734.1	965.87	NaN	1675.5	1071	NaN
279	184	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1731.6	961.59	NaN	1679.5	1070.5	NaN
279	185	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1729	957.27	NaN	1683.5	1070.5	NaN
279	185	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1726.6	952.96	NaN	1687	1070.5	NaN
279	185	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1724.2	948.64	NaN	1690.5	1070	NaN
279	186	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1721.5	944.36	NaN	1694.5	1070	NaN
279.07	185.92	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1724.8	938.94	NaN	1698.5	1070	NaN
279	186	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1727.9	933.44	NaN	1702.3	1069.6	NaN
279	187	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1731.2	928	NaN	1705.5	1069.5	NaN
279	187	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1734.3	922.53	NaN	1709.5	1069.5	NaN
279	187	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1737.5	917.04	NaN	1711.5	1070	NaN
279	188	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1740.7	911.67	NaN	1714.2	1069.7	NaN
279	188	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1743.7	906.16	NaN	1716.5	1070	NaN
279	188	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1747	900.76	NaN	1718.5	1069.5	NaN
279	189	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1750.2	895.26	NaN	1720.5	1070	NaN
279	189	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1753.4	889.86	NaN	1722	1069.5	NaN
279	189	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1756.5	884.35	NaN	1722.5	1068.5	NaN
279	190	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1729	883.25	NaN	1723.5	1066.5	NaN
279	190	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1728.1	879.03	NaN	1724.5	1064.5	NaN
279	190	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1727.3	874.7	NaN	1726.5	1060.5	NaN
279	191	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1726.2	870.26	NaN	1728	1056.5	NaN
279	191	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1725.5	866.04	NaN	1729.5	1052.5	NaN
279	191	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1724.6	861.85	NaN	1730.5	1048.5	NaN
279	192	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1723.7	857.49	NaN	1732.5	1044.5	NaN
279	192	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1722.8	853.13	NaN	1733.5	1040.5	NaN
279	192	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1722	848.91	NaN	1734.5	1036.5	NaN
279	193	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1721.1	844.54	NaN	1736.5	1032.5	NaN
279	193	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1720.2	840.24	NaN	1737.5	1029	NaN
279	193	NaN	318.5	213.5	NaN	399.5	172.5	NaN	1719.3	835.99	NaN	1738.5	1025	NaN
279	194	NaN	318.5	213.5	NaN	401.5	173	NaN	1718.5	831.7	NaN	1739.5	1021	NaN
279	194	NaN	318.5	213.5	NaN	403.5	173.5	NaN	1717.5	827.36	NaN	1741.5	1017	NaN
279.46	194.04	NaN	318.5	213.5	NaN	405.5	174	NaN	1722.3	821.16	NaN	1742.5	1013	NaN
279.5	195	NaN	318.5	213.5	NaN	407.5	174.5	NaN	1726.9	814.97	NaN	1743.5	1009	NaN
279.5	195	NaN	318.5	213.5	NaN	409.5	175	NaN	1731.5	808.92	NaN	1744.5	1005	NaN
280	195	NaN	319	213.5	NaN	411.5	175.5	NaN	1736.3	802.68	NaN	1746	1001	NaN
280	196	NaN	320	214.5	NaN	413.5	176	NaN	1740.9	796.55	NaN	1747.5	997	NaN
280	196	NaN	321	214.5	NaN	415.5	176.5	NaN	1745.7	790.27	NaN	1748.5	993.45	NaN
280	197	NaN	322	214.5	NaN	417.5	177	NaN	1722.7	796.65	NaN	1749.5	989.45	NaN
280	197	NaN	323	215	NaN	419.5	177	NaN	1723.5	791.3	NaN	1751.5	984.5	NaN
280.5	197	NaN	324	215.5	NaN	421	177	NaN	1724.3	786	NaN	1753	979.5	NaN
280.8	197.86	NaN	325	215.5	NaN	422.86	175.6	NaN	1725	780.65	NaN	1754.5	975	NaN
281	198	NaN	325.5	215.5	NaN	421.5	173	NaN	1725.8	775.36	NaN	1756	970.5	NaN
281	198.5	NaN	326.5	216.5	NaN	420	170.5	NaN	1726.6	770	NaN	1756.5	965.5	NaN
281	199	NaN	327.5	216.5	NaN	418.5	168.5	NaN	1727.5	764.7	NaN	1757.5	960.5	NaN
281	199	NaN	328.36	216.94	NaN	416.5	166.5	NaN	1728.2	759.31	NaN	1757.5	955.5	NaN
281.5	200	NaN	329	217.5	NaN	415	164.5	NaN	1729	754	NaN	1758.5	945.5	NaN
282	200	NaN	330	218	NaN	413.5	162.5	NaN	1729.7	748.75	NaN	1759	935.5	NaN
282	200	NaN	331	218.5	NaN	411.5	160.5	NaN	1730.5	743.36	NaN	1759.5	925.5	NaN
282	201	NaN	331.5	219	NaN	409.88	158.77	NaN	1731.8	739.06	NaN	1760.5	915.5	NaN
282	201	NaN	332	219.5	NaN	408	157	NaN	1733.1	734.94	NaN	1760.5	905.5	NaN
282	201.5	NaN	333	220.5	NaN	406.5	155	NaN	1734.4	730.6	NaN	1761	895.5	NaN
282.5	202	NaN	333	221	NaN	404.5	153	NaN	1735.5	726.38	NaN	1761.5	885.5	NaN
283	202	NaN	333.5	221.5	NaN	403	151.5	NaN	1736.8	722.08	NaN	1761.5	875.5	NaN
283	203	NaN	334	221.5	NaN	401	149.5	NaN	1738.1	717.92	NaN	1762.5	866	NaN
283	203	NaN	334	222.5	NaN	399.5	147.5	NaN	1739.4	713.6	NaN	1762.5	856	NaN
283	203	NaN	334	222.5	NaN	397.5	145.5	NaN	1740.5	709.34	NaN	1762.5	846	NaN
283	204	NaN	334.22	223.37	NaN	397.5	145.5	NaN	1742.4	702.85	NaN	1762.5	836.5	NaN
284	204	NaN	334.5	223.5	NaN	397.5	145.5	NaN	1744.4	696.16	NaN	1762.5	829.5	NaN
